"","colname","perc_readm","abs_num_readm","perc_no_ream","abs_num_no_readm","p_val"
"1","gender",56.75,3417,53.95,77144,2.06680621317453e-05
"2","hospitaladmitsource_ED",34.7,2089,41.77,59728,1.11063437016064e-27
"3","hospitaladmitsource_Recovery",3.69,222,3.45,4929,0.335853895430845
"4","hospitaladmitsource_ICU",2.52,152,2.28,3261,0.232003984072619
"5","hospitaladmitsource_Operating_Room",9.37,564,10.26,14675,0.0260334229535837
"6","hospitaladmitsource_Other",24.07,1449,18.93,27061,3.52331882681658e-23
"7","hospitaladmitsource_Unknown",25.66,1545,23.31,33334,2.67988522214432e-05
"8","unittype_Med_Surg_ICU",49.08,2955,55.68,79613,6.81821742169932e-24
"9","unittype_Cardiac_ICU",7.31,440,6.57,9392,0.0252627711937082
"10","unittype_CCU_CTICU",10.13,610,8.62,12322,4.83132807246641e-05
"11","unittype_SICU",8.35,503,6.19,8854,1.51018519365987e-11
"12","unittype_Neuro_ICU",7.89,475,7.7,11012,0.609871791215332
"13","unittype_MICU",10.91,657,8.19,11710,7.61028194325723e-14
"14","unittype_CSICU",1.49,90,3.73,5335,1.56137075913143e-19
"15","unittype_CTICU",4.83,291,3.32,4750,2.66818239042032e-10
"16","numbedscategory_100_249",17.47,1052,22.06,31539,3.9366718731351e-17
"17","numbedscategory_100_and_less",3.84,231,6.6,9438,1.85916225383038e-17
"18","numbedscategory_250_499",23.77,1431,23.15,33108,0.276779326071184
"19","numbedscategory_500_and_more",40.31,2427,36.04,51538,1.6736645512945e-11
"20","numbedscategory_Unknown",14.62,880,12.14,17365,1.12876698219604e-08
"21","cat_min_lactate_first_24_0",55.17,3322,62.96,90023,2.46918413725731e-34
"22","cat_min_lactate_first_24_1",33.98,2046,26.94,38514,2.85657811316653e-33
"23","cat_min_lactate_first_24_2",10.85,653,10.11,14451,0.0658824880981877
"24","cat_max_lactate_first_24_0",55.17,3322,62.96,90023,2.46918413725731e-34
"25","cat_max_lactate_first_24_1",23.3,1403,18.78,26859,2.28082490217437e-18
"26","cat_max_lactate_first_24_2",21.52,1296,18.26,26106,1.62076780961564e-10
"27","cat_max_lactate_first_24_0_1",55.17,3322,62.96,90023,2.46918413725731e-34
"28","cat_max_lactate_first_24_1_1",23.3,1403,18.78,26859,2.28082490217437e-18
"29","cat_max_lactate_first_24_2_1",21.52,1296,18.26,26106,1.62076780961564e-10
"30","cat_min_lactate_last_24_0",90.22,5432,88.24,126176,3.24875880728431e-06
"31","cat_min_lactate_last_24_1",7.57,456,7.72,11039,0.694048348232283
"32","cat_min_lactate_last_24_2",2.21,133,4.04,5773,1.34117481345998e-12
"33","cat_max_lactate_last_24_0",90.22,5432,88.24,126176,3.24875880728431e-06
"34","cat_max_lactate_last_24_1",6.33,381,6.46,9232,0.710466654516132
"35","cat_max_lactate_last_24_2",3.45,208,5.3,7580,3.4513810954466e-10
"36","apachedxgroup_Other",19.95,1201,20.57,29411,0.248523761145882
"37","apachedxgroup_PNA",3.92,236,3.16,4517,0.00114353303189927
"38","apachedxgroup_Sepsis",16.14,972,12.17,17404,5.10104509619821e-20
"39","apachedxgroup_ValveDz",1.63,98,2.11,3017,0.0118472881089548
"40","apachedxgroup_RespMedOther",7.06,425,5.61,8024,2.27555286731256e-06
"41","apachedxgroup_CHF",5.61,338,4.03,5756,1.34332933624451e-09
"42","apachedxgroup_CardiacArrest",5.71,344,6.47,9257,0.0199089296479214
"43","apachedxgroup_ARF",1.53,92,1.36,1947,0.302227117928778
"44","apachedxgroup_Overdose",0.81,49,3.21,4597,1.27245814224641e-25
"45","apachedxgroup_Asthma_Emphys",2.71,163,2.9,4141,0.413445135548105
"46","apachedxgroup_ACS",5.98,360,6.24,8918,0.433168551742419
"47","apachedxgroup_Coma",1.44,87,1.53,2183,0.650058063517054
"48","apachedxgroup_Neuro",3.7,223,3.39,4845,0.198456709699806
"49","apachedxgroup_DKA",0.9,54,3.28,4684,9.77895098887422e-25
"50","apachedxgroup_CABG",2.46,148,3.5,5000,1.80966941774877e-05
"51","apachedxgroup_GIBleed",6.29,379,5.16,7384,0.000124303034698714
"52","apachedxgroup_ChestPainUnknown",0.47,28,0.61,872,0.181665432861857
"53","apachedxgroup_CVOther",3.12,188,2.72,3895,0.0695671220364365
"54","apachedxgroup_Trauma",3.52,212,4.18,5978,0.0131271946552673
"55","apachedxgroup_GIObstruction",1.46,88,0.85,1210,6.95901975793337e-07
"56","apachedxgroup_CVA",5.58,336,6.96,9948,4.08663817273959e-05
"57","visitnumber_apache_pred_var",99.73,6005,99.55,142341,0.041953285712989
